Team,Conf.,Avg FP,% of Avail Yards,Yrds / Poss,1st Downs / Poss,% of Poss in RZ,Yards / Point,Opp Avg FP,Opp % of Avail Yards,Opp  Yrds / Poss,Opp 1st Downs / Poss,Opp % of Poss in RZ,Opp Yards / Point
Oklahoma,Big 12,70.73,62.79,44.41,2,46.75,12.86,69.98,42.97,30.07,1.45,29.34,14.6
Army,Indy,66.55,60.92,40.55,2.24,45.95,12.53,67.96,54.03,36.72,1.91,34,15.74
Louisville,ACC,70.09,59.16,41.46,1.96,40.69,14.32,67.5,43.77,29.54,1.58,24.53,14.19
UCF,AAC,63.76,58.9,37.55,1.76,45.22,11.02,72.31,42.19,30.5,1.42,23.67,16.97
Oklahoma State,Big 12,67.19,58.65,39.41,1.9,43.03,12.6,68.89,41.83,28.82,1.45,27.22,13.96
Colorado State,MWC,70.29,56.68,39.84,2.08,42,14.78,70.82,47.53,33.66,1.61,22.7,15.39
Memphis,AAC,65.88,56.44,37.18,1.69,39.24,11.68,72.13,46.43,33.49,1.72,35.4,14.36
Arizona,Pac 12,65.17,55.84,36.39,1.65,35.86,11.86,69.93,48.92,34.21,1.78,38.41,13.7
Alabama,SEC,64.62,55.57,35.91,1.83,43.31,12.11,74.65,27.78,20.74,1.14,18.39,21.86
Florida Atlantic,C-USA,68.78,55.18,37.96,1.91,40.63,12.23,70.67,42.24,29.85,1.59,28.24,17.18
Ohio State,Big 10,67.47,54.9,37.04,1.8,41.98,12.22,71.04,31.85,22.62,1.19,22.22,15.82
Navy,AAC,68.04,54.89,37.35,1.9,40.8,13.75,68.65,47.91,32.89,1.55,31.03,14.63
Toledo,MAC,65.69,54.43,35.76,1.69,40.36,13.4,71.46,39.6,28.3,1.4,26.59,14.65
USC,Pac 12,68.72,53.35,36.66,1.85,35.98,14.88,68.9,44.06,30.36,1.46,30.95,15.18
North Carolina State,ACC,66.93,52.63,35.22,1.84,39.74,14.04,71.01,41.35,29.37,1.46,28.21,15.13
Washington,Pac 12,63.9,52.55,33.58,1.81,42.86,11.12,71.91,34.15,24.56,1.38,18.42,18.56
SMU,AAC,66.97,51.9,34.76,1.7,33.77,12.7,67.18,50.7,34.06,1.62,33.33,13.14
Penn State,Big 10,65.98,51.56,34.02,1.69,38.31,11.21,72.68,33.58,24.41,1.26,19.28,19.96
Louisiana-Monroe,Sun Belt,67.69,51.28,34.71,1.58,33.57,13.71,69.84,56.27,39.3,1.89,36.69,13.02
South Florida,AAC,68.82,49.95,34.37,1.72,39.1,13.41,69.98,34.67,24.26,1.24,18.9,15.43
Air Force,MWC,71.38,49.89,35.61,2.1,36.64,13.51,66.27,50.45,33.43,1.5,36.13,12.12
Buffalo,MAC,67.65,49.82,33.7,1.57,39.01,15.18,69.31,45.33,31.42,1.66,28.47,16.13
North Texas,C-USA,67.77,49.7,33.68,1.79,32.53,12.74,68.11,47.97,32.67,1.6,33.54,12.27
San Diego State,MWC,65.9,49.7,32.75,1.55,30.5,13.1,69.8,36.83,25.7,1.25,22.45,15.54
Mississippi,SEC,68.22,49.5,33.77,1.53,30.28,14.14,68.42,48.9,33.45,1.66,36.77,13.3
Missouri,SEC,71.96,49.46,35.59,1.65,33.33,13.42,70.43,40.84,28.77,1.41,26.32,13.06
Wisconsin,Big 10,66.5,49.45,32.88,1.7,37.58,12.3,70.89,29,20.56,1.02,20.47,18.76
Tulane,AAC,67.64,49.42,33.43,1.72,29.75,14.24,70.32,52.71,37.06,1.72,32.23,14.93
Arkansas State,Sun Belt,66.07,49.34,32.6,1.7,39.02,13.21,68.74,36.47,25.07,1.19,18.79,14.68
Troy,Sun Belt,63.61,49.06,31.21,1.52,35,13.25,67.73,38.05,25.77,1.39,26.99,18.36
UCLA,Pac 12,69.99,48.88,34.21,1.74,33.54,14.11,67.02,53.24,35.68,1.75,42.33,13.19
Texas Tech,Big 12,68.11,48.76,33.21,1.69,37.58,13.85,68.24,45.28,30.9,1.61,34.46,13.79
Stanford,Pac 12,66.27,48.64,32.23,1.45,38.56,11.88,74.74,45.39,33.93,1.71,29.75,17.82
Louisiana Tech,C-USA,65.1,48.6,31.64,1.66,35.29,13.17,68.22,45.06,30.74,1.67,28.28,15.18
Appalachian State,Sun Belt,68.06,48.53,33.03,1.55,37.01,13.14,70.86,35.97,25.49,1.23,23.49,16.96
UNLV,MWC,70.89,48.42,34.32,1.68,35.97,14.98,67.7,53.5,36.22,1.98,45,14.35
UTSA,C-USA,67.58,48.23,32.6,1.63,28.33,16.61,70.95,33.84,24.01,1.19,20.16,17.07
Georgia,SEC,70.18,48.15,33.79,1.61,33.13,12.28,73.34,32.37,23.74,1.16,22.35,18.04
Ohio,MAC,66.47,48.09,31.96,1.63,38.27,11.07,70.31,38.12,26.81,1.28,24.85,15.4
Auburn,SEC,70.23,47.6,33.43,1.64,34.1,13.4,67.05,36.29,24.33,1.2,20,17.57
LSU,SEC,68.42,47.12,32.24,1.59,34.39,15.12,72.04,35.45,25.54,1.28,23.38,16.82
West Virginia,Big 12,68.84,47.06,32.4,1.58,31.93,13.35,68.81,44.84,30.86,1.44,34.29,14.18
Boise State,MWC,66.57,46.58,31.01,1.61,37.5,12.47,69.45,36.66,25.46,1.38,22.73,14.64
TCU,Big 12,67.09,46.55,31.23,1.56,31.76,12.56,71.84,34.44,24.74,1.14,20.81,17.49
Colorado,Pac 12,69.01,46.5,32.09,1.72,30.34,15.79,70.44,49.06,34.56,1.73,33.1,15.95
Mississippi State,SEC,66.59,46.45,30.93,1.72,34.73,13.09,70.24,32.61,22.91,0.94,18.63,14.76
Virginia Tech,ACC,66.51,46.37,30.84,1.67,33.74,14.66,73.28,31.93,23.4,1.06,14.97,21.57
Hawai'i,MWC,67.92,46.08,31.29,1.58,29.45,17.78,65.46,53.88,35.27,1.74,36.76,13.5
Kansas State,Big 12,62.93,45.94,28.91,1.38,33.55,11.56,71.39,46.31,33.06,1.62,30.52,17.19
Notre Dame,Indy,71.47,45.9,32.8,1.53,29.11,13.12,70.17,38,26.67,1.42,26.59,17.2
Houston,AAC,68.69,45.87,31.51,1.6,31.17,15.15,69.63,45.14,31.43,1.68,30.97,17.7
Clemson,ACC,68.87,45.75,31.51,1.62,29.82,12.92,73.14,27.93,20.43,1.03,16.02,20.32
Oregon,Pac 12,65.17,45.68,29.77,1.48,31.28,12.28,66.8,37.58,25.11,1.29,26.74,12.59
Michigan State,Big 10,67.14,45.55,30.58,1.67,32.69,15.72,71.56,32.95,23.58,1.16,19.87,14.97
Marshall,C-USA,67.14,45.17,30.33,1.52,27.03,14.24,71.01,38.17,27.1,1.45,26.62,17.16
Tulsa,AAC,71.36,45.15,32.22,1.6,29.25,14.45,68.81,57.78,39.76,1.81,39.26,14.11
Wake Forest,ACC,68.75,45.08,30.99,1.54,31.82,13.23,71.91,43.02,30.94,1.6,29.61,16.23
Arizona State,Pac 12,71.45,44.86,32.05,1.64,31.74,13.55,68.52,48.84,33.47,1.63,35.48,13.64
Western Michigan,MAC,62.46,44.44,27.76,1.47,32.9,11.53,69.24,38.3,26.52,1.28,26.75,13.11
Western Kentucky,C-USA,70.29,44.43,31.23,1.73,32.68,15.57,67.71,44.24,29.95,1.54,28.76,14.16
Georgia State,Sun Belt,69.11,44.26,30.58,1.57,24.32,19.09,69.94,43.8,30.64,1.48,28.99,15.58
Florida International,C-USA,72.09,44.12,31.81,1.67,27.33,15.19,71,47.74,33.89,1.74,36.05,14.66
Southern Mississippi,C-USA,70.71,44.11,31.19,1.5,28.03,14.56,67.43,36.71,24.75,1.27,25.45,13.47
Syracuse,ACC,71.49,44.01,31.47,1.59,29.19,16.74,69.14,42.88,29.65,1.32,20.92,13.83
Iowa State,Big 12,69.91,43.93,30.71,1.59,33.99,13.26,72.74,39.73,28.9,1.56,26.58,17.53
East Carolina,AAC,73.82,43.88,32.39,1.61,30.14,17.12,65.32,63.19,41.28,1.94,42.42,12
Georgia Tech,ACC,69.89,43.81,30.61,1.56,28.57,13.87,67.97,41.45,28.17,1.48,28.68,13.41
Washington State,Pac 12,69.06,43.73,30.2,1.57,30.68,14.41,64.27,35.19,22.62,1.15,23.43,12.49
California,Pac 12,67.76,43.69,29.6,1.63,33.33,13.87,67.46,49.09,33.12,1.69,33.1,15.15
Fresno State,MWC,68.75,43.52,29.92,1.51,30.99,14.41,71.35,35.13,25.07,1.35,22.41,17.88
Miami (Florida),ACC,66.98,43.35,29.03,1.37,26.71,13.9,70.73,37.23,26.33,1.46,24,17.46
Utah,Pac 12,70.25,43.29,30.41,1.63,37.28,13.94,68.63,36.77,25.24,1.27,26.51,14.59
Nevada,MWC,69.91,43.06,30.1,1.46,30.82,14.07,64.91,55.55,36.06,1.86,40.82,14.17
Arkansas,SEC,68.49,42.78,29.3,1.58,28.37,12.99,64.99,53.75,34.93,1.74,38.81,12.15
Temple,AAC,69.47,42.42,29.47,1.5,28.13,15.55,70.98,41.83,29.69,1.56,33.13,14.89
Duke,ACC,67.51,42.38,28.61,1.67,32.52,14.51,70.22,35.39,24.85,1.13,15.92,16.44
Northwestern,Big 10,69.12,42.36,29.28,1.64,33.71,13.94,67.5,37.98,25.64,1.36,23.7,17.78
Massachusetts,MAC,69.93,42.33,29.6,1.42,29.56,14.11,66.05,43.25,28.57,1.37,32.1,12.71
Purdue,Big 10,70.64,42.27,29.86,1.57,28.83,15.93,69.5,40.11,27.87,1.35,25.61,18.27
Miami (Ohio),MAC,68.26,42.26,28.85,1.48,26.67,15.75,67.13,41.93,28.15,1.32,24.65,15.29
Louisiana-Lafayette,Sun Belt,68.64,42.01,28.84,1.49,26.92,14.33,67.53,53.47,36.11,1.89,40.54,12.41
Connecticut,AAC,72.34,41.97,30.36,1.46,27.81,17.59,68.91,55.6,38.31,1.89,37.32,13.73
Baylor,Big 12,71.79,41.86,30.05,1.4,27.03,16.77,64.19,51.07,32.78,1.57,31.21,12.63
Nebraska,Big 10,70.65,41.67,29.44,1.47,31.47,14.86,68.56,49.51,33.94,1.77,39.58,12.04
Bowling Green,MAC,67.04,41.66,27.93,1.33,26.92,15.43,65.69,55.7,36.59,1.89,36.91,13.4
Middle Tennessee,C-USA,71.18,41.4,29.47,1.51,22.01,15.45,67.52,40.18,27.13,1.41,31.9,14.54
New Mexico State,Sun Belt,69.09,41.37,28.58,1.38,25.77,15.34,65.58,39.6,25.97,1.34,23.83,14.04
Kentucky,SEC,69.03,41.14,28.39,1.43,27.81,13.68,71.27,47.31,33.72,1.68,32.43,15.07
Cincinnati,AAC,70.6,41.01,28.95,1.55,31.65,16.84,68.69,51.41,35.31,1.75,35.66,13.59
Pittsburgh,ACC,69.65,40.46,28.18,1.53,23.81,15.32,69.75,46.14,32.18,1.55,26.56,14.93
Rice,C-USA,72.88,40.4,29.44,1.52,21.43,20.38,65.32,54.97,35.91,1.97,37.98,11.89
Coastal Carolina,Sun Belt,69.73,40.4,28.17,1.49,23.53,14.78,67.06,48.18,32.31,1.76,37.76,12.04
Texas,Big 12,65.83,40.11,26.41,1.35,25.54,13.58,72.14,33.2,23.95,1.12,22.75,17.27
South Carolina,SEC,67.43,39.95,26.94,1.39,22.97,13.94,69.88,42.59,29.76,1.61,30.57,17.81
Eastern Michigan,MAC,67.94,39.93,27.13,1.37,26.42,14.82,69.48,37.32,25.93,1.27,26.54,15.65
UAB,C-USA,68.9,39.58,27.27,1.45,29.27,13.07,68.36,40.57,27.73,1.39,25.64,14.33
Vanderbilt,SEC,71.98,39.01,28.08,1.45,26.62,14.28,69.23,43.64,30.21,1.54,29.2,12.45
Texas A&M,SEC,68.93,38.93,26.83,1.3,30.43,12.44,69.46,38.72,26.89,1.31,28.57,13.35
Florida State,ACC,68.21,38.67,26.38,1.36,28.92,12.6,70.74,35.8,25.32,1.34,24.53,15.6
Idaho,Sun Belt,70.41,38.53,27.13,1.35,27.7,16.75,69.4,43.55,30.23,1.55,34.27,15.16
New Mexico,MWC,69.67,38.11,26.55,1.23,21.33,17.48,69.72,42.67,29.75,1.43,26.57,12.54
Utah State,MWC,65.49,38.06,24.92,1.14,20.2,13.64,69.52,35.9,24.96,1.22,21.39,14.93
Boston College,ACC,67.6,37.81,25.56,1.26,24.73,15,71.47,36.2,25.87,1.23,23.46,16.72
Michigan,Big 10,66.61,37.43,24.93,1.25,26.04,13.76,70.29,27.96,19.65,0.91,17.54,14.44
North Carolina,ACC,69.82,37.25,26.01,1.39,23.42,14.17,68.28,45.27,30.91,1.53,33.12,14.01
BYU,Indy,71.18,37.16,26.45,1.33,25.17,18.94,70.2,42.79,30.04,1.64,34.42,15.07
Indiana,Big 10,70.15,37.07,26,1.29,24.86,14.86,69.25,31.97,22.14,1.05,22.99,13.4
Iowa,Big 10,69.2,37.02,25.62,1.35,31.41,11.73,69.33,39.24,27.2,1.39,25,17.96
Northern Illinois,MAC,65.85,36.99,24.36,1.26,24.06,13.09,68.17,32.5,22.16,1.07,25.13,15.42
Florida,SEC,69.42,36.79,25.54,1.28,21.99,15.24,71.37,37.14,26.5,1.26,26.12,12.81
South Alabama,Sun Belt,69.66,36.78,25.62,1.31,25.5,16.9,68,47.37,32.21,1.61,38.93,16
Virginia,ACC,68.45,36.52,25,1.27,20.63,15.1,67.44,38.66,26.07,1.3,26.51,12.86
Oregon State,Pac 12,73.22,36.39,26.65,1.41,24.48,16.12,65.96,56.04,36.97,1.99,47.1,11.03
Central Michigan,MAC,68.4,36.36,24.87,1.1,23.24,13.71,66.19,36.49,24.15,1.2,27.27,13.56
Minnesota,Big 10,67.69,35.53,24.05,1.29,27.7,13.98,67.66,40.01,27.07,1.35,26.21,15.22
Maryland,Big 10,68.31,35.42,24.19,1.15,24.83,13.48,65.86,48.62,32.02,1.77,37.67,11.3
Old Dominion,C-USA,68.87,35.38,24.37,1.19,22.44,16.11,67.83,45.48,30.85,1.64,31.79,13.48
Akron,MAC,68.41,35.3,24.15,1.29,19.88,14.33,67.97,50.27,34.17,1.75,32.74,15.86
Georgia Southern,Sun Belt,70.85,34.93,24.75,1.27,24.52,16.04,64.93,46.88,30.44,1.35,27.46,12.85
Ball State,MAC,71.75,34.75,24.93,1.38,19.48,18.79,61.78,49.91,30.84,1.49,36.17,10.36
Texas State,Sun Belt,74.62,34.47,25.72,1.32,22.98,19.88,66.07,48.5,32.04,1.49,33.77,13.26
Wyoming,MWC,64.53,33.53,21.64,1.11,20.73,12.34,70.63,35.69,25.21,1.39,20.73,19.13
Charlotte,C-USA,70.76,32.84,23.24,1.03,17.57,21.32,69.49,48.35,33.6,1.76,31.79,13.85
Tennessee,SEC,69.41,32.83,22.79,1.16,23.81,15,69.72,45.62,31.81,1.67,34.25,14.13
San Jose State,MWC,69.7,31.27,21.79,1.11,16.02,20,65.37,52.2,34.13,1.73,39.77,12.01
Kansas,Big 12,72.76,30.93,22.51,1.09,18.93,17.68,64.16,50.57,32.45,1.6,38.06,10.84
Illinois,Big 10,70.73,30.71,21.72,1.03,17.88,18.52,68.29,44.85,30.63,1.65,37.58,13.29
Rutgers,Big 10,69.68,28.94,20.17,1.01,20.13,14.66,70.06,43.89,30.75,1.55,33.56,14.02
Kent State,MAC,71.61,28.04,20.08,0.96,16.13,21.65,66.04,44.9,29.65,1.38,32.67,11.69
UTEP,C-USA,70.92,26.94,19.1,0.97,14.08,19.65,67.34,54.06,36.41,1.99,38.06,12.22
